date,station,mean_airtemp,daily_precip,mean_windspeed
9/15/88,Toolik Field Station,2,0,2.3
9/16/88,Toolik Field Station,3.7,0,2.4
9/17/88,Toolik Field Station,5.6,0,3.6
9/18/88,Toolik Field Station,4.4,0,3.3
9/19/88,Toolik Field Station,-2.8,0,1.1
9/20/88,Toolik Field Station,-4.2,0,0.4
9/21/88,Toolik Field Station,-3.8,0,1.2
9/22/88,Toolik Field Station,-3.3,0,0.9
9/23/88,Toolik Field Station,-2.1,0,1.7
9/24/88,Toolik Field Station,-3,0,1.9
9/25/88,Toolik Field Station,-2.7,0,2
9/26/88,Toolik Field Station,-1.8,0,4.1
9/27/88,Toolik Field Station,-3.5,0,5
9/28/88,Toolik Field Station,-2.1,0,3
9/29/88,Toolik Field Station,-3,0,5
9/30/88,Toolik Field Station,-8.9,0,4
10/1/88,Toolik Field Station,-2.6,0,7.4
10/2/88,Toolik Field Station,-4.9,0,2.5
10/3/88,Toolik Field Station,-6.6,0,1.7
10/4/88,Toolik Field Station,-10.7,0,2.2
10/5/88,Toolik Field Station,-11.6,2.5,1.1
10/6/88,Toolik Field Station,-10.3,2.5,1.2
10/7/88,Toolik Field Station,-13.9,5.1,2.9
10/8/88,Toolik Field Station,-12.6,0,2.2
10/9/88,Toolik Field Station,-13.3,0,1.1
10/10/88,Toolik Field Station,-16.1,0,0.6
10/11/88,Toolik Field Station,-20.1,0,1.4
10/12/88,Toolik Field Station,-17.3,0,4
10/13/88,Toolik Field Station,-16.3,0,5.1
10/14/88,Toolik Field Station,-11.3,0,3.6
10/15/88,Toolik Field Station,-13.5,0,3.5
10/16/88,Toolik Field Station,-15.7,0,3
10/17/88,Toolik Field Station,-19.8,0,2.1
10/18/88,Toolik Field Station,-23.4,0,2
10/19/88,Toolik Field Station,-19.4,2.5,2.7
10/20/88,Toolik Field Station,-15.4,0,3.4
10/21/88,Toolik Field Station,-18.3,0,2.3
10/22/88,Toolik Field Station,-20.1,0,1.6
10/23/88,Toolik Field Station,-21.1,0,1.1
10/24/88,Toolik Field Station,-21.5,0,0.5
10/25/88,Toolik Field Station,-29.9,0,0.4
10/26/88,Toolik Field Station,-26.1,0,0.4
10/27/88,Toolik Field Station,-26.6,0,1.5
10/28/88,Toolik Field Station,-19.4,0,3.2
10/29/88,Toolik Field Station,-21.8,0,1.7
10/30/88,Toolik Field Station,-19.3,0,2.3
10/31/88,Toolik Field Station,-9.3,0,4.2
11/1/88,Toolik Field Station,-10.1,0,4.4
11/2/88,Toolik Field Station,-8.5,0,1.5
11/3/88,Toolik Field Station,-13.2,0,0.4
11/4/88,Toolik Field Station,-15.5,0,1.8
11/5/88,Toolik Field Station,-22.9,0,2.1
11/6/88,Toolik Field Station,-30,0,2.4
11/7/88,Toolik Field Station,-33.3,0,1.9
11/8/88,Toolik Field Station,-23,2.5,1.1
11/9/88,Toolik Field Station,-23.4,0,1.6
11/10/88,Toolik Field Station,-34.7,0,0.7
11/11/88,Toolik Field Station,-39.2,0,0.6
11/12/88,Toolik Field Station,-41,0,0.6
11/13/88,Toolik Field Station,-36.7,0,0.5
11/14/88,Toolik Field Station,-34.2,0,0.4
11/15/88,Toolik Field Station,-36.5,0,0.4
11/16/88,Toolik Field Station,-22.8,0,2.1
11/17/88,Toolik Field Station,-20.2,0,3.4
11/18/88,Toolik Field Station,-17.8,0,4.6
11/19/88,Toolik Field Station,-12.4,0,1.7
11/20/88,Toolik Field Station,-32.8,0,1.8
11/21/88,Toolik Field Station,-36.2,0,2.1
11/22/88,Toolik Field Station,-33.6,0,1.5
11/23/88,Toolik Field Station,-33.3,0,1.6
11/24/88,Toolik Field Station,-38.7,0,1.4
11/25/88,Toolik Field Station,-38,0,1
11/26/88,Toolik Field Station,-39.1,0,0.9
11/27/88,Toolik Field Station,-37.1,0,1.3
11/28/88,Toolik Field Station,-36.1,0,1
11/29/88,Toolik Field Station,-40.5,0,1
11/30/88,Toolik Field Station,-35.8,0,1
12/1/88,Toolik Field Station,-37.1,0,1.8
12/2/88,Toolik Field Station,-39.6,0,1.9
12/3/88,Toolik Field Station,-37.2,0,1.3
12/4/88,Toolik Field Station,-33.9,0,1.5
12/5/88,Toolik Field Station,-22.2,5.1,3.7
12/6/88,Toolik Field Station,-29.1,0,4.1
12/7/88,Toolik Field Station,-27.8,0,3.3
12/8/88,Toolik Field Station,-28,2.5,1.8
12/9/88,Toolik Field Station,-27.3,0,1.7
12/10/88,Toolik Field Station,-24.1,0,2.1
12/11/88,Toolik Field Station,-9.9,5.1,2.9
12/12/88,Toolik Field Station,-7.7,0,1.8
12/13/88,Toolik Field Station,-20.2,0,1.4
12/14/88,Toolik Field Station,-9.8,0,6
12/15/88,Toolik Field Station,-3.1,5.1,8.2
12/16/88,Toolik Field Station,-3.4,0,4.5
12/17/88,Toolik Field Station,-5.5,0,6.2
12/18/88,Toolik Field Station,-8.1,0,7.6
12/19/88,Toolik Field Station,-6.4,0,3.9
12/20/88,Toolik Field Station,-9.5,0,2.8
12/21/88,Toolik Field Station,-16.4,0,2.6
12/22/88,Toolik Field Station,-15.9,0,4.1
12/23/88,Toolik Field Station,-20.2,0,1.7
12/24/88,Toolik Field Station,-25.1,0,1.9
12/25/88,Toolik Field Station,-9.2,0,7.1
12/26/88,Toolik Field Station,-9.2,2.5,5.3
12/27/88,Toolik Field Station,-4.5,0,8
12/28/88,Toolik Field Station,-6.9,0,5.6
12/29/88,Toolik Field Station,-8.8,0,6.7
12/30/88,Toolik Field Station,-14.4,0,5
12/31/88,Toolik Field Station,-8.6,0,5.8
1/1/89,Toolik Field Station,-7.6,0,3.9
1/2/89,Toolik Field Station,-11.1,0,4
1/3/89,Toolik Field Station,-17.4,0,3.6
1/4/89,Toolik Field Station,-16.7,0,6
1/5/89,Toolik Field Station,-9.4,0,7.8
1/6/89,Toolik Field Station,-4.5,0,8.1
1/7/89,Toolik Field Station,-10.6,2.5,2.2
1/8/89,Toolik Field Station,-13.8,0,2.8
1/9/89,Toolik Field Station,-15.4,2.5,4.6
1/10/89,Toolik Field Station,-24.4,5.1,3.5
1/11/89,Toolik Field Station,-30.3,0,3.5
1/12/89,Toolik Field Station,-33.5,0,2.5
1/13/89,Toolik Field Station,-32.2,0,4.5
1/14/89,Toolik Field Station,-33,0,3.5
1/15/89,Toolik Field Station,-32.9,0,4
1/16/89,Toolik Field Station,-35.2,0,3.4
1/17/89,Toolik Field Station,-35,0,3.2
1/18/89,Toolik Field Station,-37.7,0,2.6
1/19/89,Toolik Field Station,-37.4,0,3.4
1/20/89,Toolik Field Station,-35.5,0,4.1
1/21/89,Toolik Field Station,-38.6,0,3.2
1/22/89,Toolik Field Station,-37.3,0,3.4
1/23/89,Toolik Field Station,-38.6,0,3.1
1/24/89,Toolik Field Station,-45.8,0,2.5
1/25/89,Toolik Field Station,-49.9,0,2.2
1/26/89,Toolik Field Station,-55.6,0,1.1
1/27/89,Toolik Field Station,-50,0,0.9
1/28/89,Toolik Field Station,-44.5,0,2.8
1/29/89,Toolik Field Station,-33.4,2.5,4.1
1/30/89,Toolik Field Station,-34.4,2.5,4.7
1/31/89,Toolik Field Station,-24.5,5.1,5.3
2/1/89,Toolik Field Station,-18.5,0,6.9
2/2/89,Toolik Field Station,-7.7,0,10.3
2/3/89,Toolik Field Station,-7.4,0,9.4
2/4/89,Toolik Field Station,-6.5,0,7.1
2/5/89,Toolik Field Station,-10.3,0,2.9
2/6/89,Toolik Field Station,-6.9,0,5.4
2/7/89,Toolik Field Station,-2.2,0,6.9
2/8/89,Toolik Field Station,-2.8,0,5.7
2/9/89,Toolik Field Station,-4.1,0,7.3
2/10/89,Toolik Field Station,-2.2,0,5
2/11/89,Toolik Field Station,-7.6,2.5,4.5
2/12/89,Toolik Field Station,-2.5,0,6.8
2/13/89,Toolik Field Station,-10.3,2.5,3.7
2/14/89,Toolik Field Station,-2,0,5.4
2/15/89,Toolik Field Station,-7.1,0,3.6
2/16/89,Toolik Field Station,-5,0,6.8
2/17/89,Toolik Field Station,-0.8,0,5.8
2/18/89,Toolik Field Station,-5.4,0,5
2/19/89,Toolik Field Station,-2,0,6.9
2/20/89,Toolik Field Station,-12.9,0,2.3
2/21/89,Toolik Field Station,-6.7,0,6.5
2/22/89,Toolik Field Station,-19.8,0,3.4
2/23/89,Toolik Field Station,-20.1,2.5,6.3
2/24/89,Toolik Field Station,-9.1,0,11
2/25/89,Toolik Field Station,-4.6,0,12
2/26/89,Toolik Field Station,-18.3,5.1,6.1
2/27/89,Toolik Field Station,-16,0,5.5
2/28/89,Toolik Field Station,-6.8,2.5,8.3
3/1/89,Toolik Field Station,-8.6,0,6.1
3/2/89,Toolik Field Station,-28.8,0,4.8
3/3/89,Toolik Field Station,-32.4,0,4.1
3/4/89,Toolik Field Station,-22.6,0,5.1
3/5/89,Toolik Field Station,-20.4,0,2.8
3/6/89,Toolik Field Station,-25.5,0,2.8
3/7/89,Toolik Field Station,-31.5,0,3.6
3/8/89,Toolik Field Station,-25.5,0,4.4
3/9/89,Toolik Field Station,-14.4,0,7.3
3/10/89,Toolik Field Station,-3.7,0,7.2
3/11/89,Toolik Field Station,-5.7,0,4.4
3/12/89,Toolik Field Station,-4.7,0,5.1
3/13/89,Toolik Field Station,-5.4,0,4.1
3/14/89,Toolik Field Station,-11.9,0,2
3/15/89,Toolik Field Station,-14,0,2.6
3/16/89,Toolik Field Station,-16.2,0,0.9
3/17/89,Toolik Field Station,-27.8,0,1.6
3/18/89,Toolik Field Station,-29.4,0,2.2
3/19/89,Toolik Field Station,-30.7,0,1.8
3/20/89,Toolik Field Station,-27.2,0,2.9
3/21/89,Toolik Field Station,-28.8,0,2.3
3/22/89,Toolik Field Station,-28.7,0,2.1
3/23/89,Toolik Field Station,-24.7,0,2.9
3/24/89,Toolik Field Station,-21.6,0,3.4
3/25/89,Toolik Field Station,-16.7,0,2.6
3/26/89,Toolik Field Station,-12,0,10
3/27/89,Toolik Field Station,-12.3,2.5,5.1
3/28/89,Toolik Field Station,-17.4,0,3.1
3/29/89,Toolik Field Station,-18.9,0,3.2
3/30/89,Toolik Field Station,-16.6,0,4.1
3/31/89,Toolik Field Station,-17.6,0,2.6
4/1/89,Toolik Field Station,-20.3,0,2.3
4/2/89,Toolik Field Station,-21.4,0,1.3
4/3/89,Toolik Field Station,-17.3,0,2.8
4/4/89,Toolik Field Station,-10.8,0,3.6
4/5/89,Toolik Field Station,-17.9,0,3.1
4/6/89,Toolik Field Station,-5.7,0,8
4/7/89,Toolik Field Station,-1,5.1,9.7
4/8/89,Toolik Field Station,-0.7,5.1,7.1
4/9/89,Toolik Field Station,-2.7,0,5.5
4/10/89,Toolik Field Station,-8.1,0,2.6
4/11/89,Toolik Field Station,-5.9,0,4.4
4/12/89,Toolik Field Station,-2,0,7
4/13/89,Toolik Field Station,1.1,0,6.1
4/14/89,Toolik Field Station,-0.7,0,2.9
4/15/89,Toolik Field Station,-1.1,0,5.4
4/16/89,Toolik Field Station,0.6,0,4.3
4/17/89,Toolik Field Station,-4.1,0,2.8
4/18/89,Toolik Field Station,-11.1,0,2.2
4/19/89,Toolik Field Station,-16.1,0,1.7
4/20/89,Toolik Field Station,-16,0,1.4
4/21/89,Toolik Field Station,-6.4,0,1.8
4/22/89,Toolik Field Station,-11.7,0,2.1
4/23/89,Toolik Field Station,-16.8,0,0.7
4/24/89,Toolik Field Station,-3.3,0,3.7
4/25/89,Toolik Field Station,-11.7,0,2.7
4/26/89,Toolik Field Station,-14.1,0,1.9
4/27/89,Toolik Field Station,-15.1,0,1.8
4/28/89,Toolik Field Station,-12.9,10.2,2.5
4/29/89,Toolik Field Station,-3.3,2.5,2.3
4/30/89,Toolik Field Station,-4.2,0,2.7
5/1/89,Toolik Field Station,-3.3,0,3
5/2/89,Toolik Field Station,-0.8,5.1,3
5/3/89,Toolik Field Station,0.5,0,2.2
5/4/89,Toolik Field Station,-2.1,2.5,2.7
5/5/89,Toolik Field Station,-2,0,2.3
5/6/89,Toolik Field Station,-6,0,2.4
5/7/89,Toolik Field Station,-7.2,0,1.4
5/8/89,Toolik Field Station,-11.9,2.5,2.3
5/9/89,Toolik Field Station,-14.4,0,2.2
5/10/89,Toolik Field Station,-17.8,0,3.3
5/11/89,Toolik Field Station,-18.5,0,1.9
5/12/89,Toolik Field Station,-17.1,0,1.6
5/13/89,Toolik Field Station,-5.7,0,3
5/14/89,Toolik Field Station,-5.1,0,2.4
5/15/89,Toolik Field Station,-13.4,0,2
5/16/89,Toolik Field Station,-10.3,0,2.3
5/17/89,Toolik Field Station,-5.3,0,NA
5/18/89,Toolik Field Station,-1.1,0,NA
5/19/89,Toolik Field Station,0,0,NA
5/20/89,Toolik Field Station,0.1,0,NA
5/21/89,Toolik Field Station,4.1,0,NA
5/22/89,Toolik Field Station,2,0,NA
5/23/89,Toolik Field Station,0.1,2.5,NA
5/24/89,Toolik Field Station,2.2,0,NA
5/25/89,Toolik Field Station,1.3,0,1.5
5/26/89,Toolik Field Station,6.3,0,2
5/27/89,Toolik Field Station,7,0,2.6
5/28/89,Toolik Field Station,9.2,0,2.8
5/29/89,Toolik Field Station,9.8,0,2.4
5/30/89,Toolik Field Station,12.4,0,3.3
5/31/89,Toolik Field Station,6.3,0,2
6/1/89,Toolik Field Station,8,1.3,3.7
6/2/89,Toolik Field Station,8.2,2,2.7
6/3/89,Toolik Field Station,8.9,0.5,2.1
6/4/89,Toolik Field Station,7.7,0.5,3.1
6/5/89,Toolik Field Station,7.1,0,3.1
6/6/89,Toolik Field Station,5.4,0,2.1
6/7/89,Toolik Field Station,6.3,0.3,2.4
6/8/89,Toolik Field Station,8.7,0.3,2.2
6/9/89,Toolik Field Station,5.9,2.5,2.5
6/10/89,Toolik Field Station,-0.9,3,3
6/11/89,Toolik Field Station,3.7,5.8,4.5
6/12/89,Toolik Field Station,-2.3,1.3,3.6
6/13/89,Toolik Field Station,2,0.3,3.5
6/14/89,Toolik Field Station,3,0,2.7
6/15/89,Toolik Field Station,9.1,0,3.8
6/16/89,Toolik Field Station,6.8,0.3,2.8
6/17/89,Toolik Field Station,5.5,6.6,4.8
6/18/89,Toolik Field Station,5.7,0.3,1.9
6/19/89,Toolik Field Station,10.9,1.8,4.5
6/20/89,Toolik Field Station,15.5,0.5,3.1
6/21/89,Toolik Field Station,11.4,1.5,2.8
6/22/89,Toolik Field Station,13,1,3.7
6/23/89,Toolik Field Station,11.6,2.8,3
6/24/89,Toolik Field Station,9.4,2,3.4
6/25/89,Toolik Field Station,9.1,0,2.7
6/26/89,Toolik Field Station,12,5.6,3.2
6/27/89,Toolik Field Station,9.9,0,2.9
6/28/89,Toolik Field Station,13.5,0,2.8
6/29/89,Toolik Field Station,13.7,0,2.8
6/30/89,Toolik Field Station,9.5,0.5,3.3
7/1/89,Toolik Field Station,8,0,2.5
7/2/89,Toolik Field Station,13.1,0,2.4
7/3/89,Toolik Field Station,16.5,0,3.4
7/4/89,Toolik Field Station,14.9,0,3.2
7/5/89,Toolik Field Station,15.6,0,3.6
7/6/89,Toolik Field Station,16.4,0,4.3
7/7/89,Toolik Field Station,14.4,0,3
7/8/89,Toolik Field Station,15.9,0,2.9
7/9/89,Toolik Field Station,16.1,3,3.1
7/10/89,Toolik Field Station,13.6,0.3,3.6
7/11/89,Toolik Field Station,12.9,0,2.7
7/12/89,Toolik Field Station,14.6,0,4.1
7/13/89,Toolik Field Station,15.2,0,5.1
7/14/89,Toolik Field Station,15.2,0,5.3
7/15/89,Toolik Field Station,14.9,0,4.4
7/16/89,Toolik Field Station,6,15.5,4.3
7/17/89,Toolik Field Station,7.2,0.3,2.9
7/18/89,Toolik Field Station,11,0,6.9
7/19/89,Toolik Field Station,10.7,2.8,4.3
7/20/89,Toolik Field Station,9.5,2.8,3.7
7/21/89,Toolik Field Station,9.6,3.8,3.3
7/22/89,Toolik Field Station,11.1,0,3.6
7/23/89,Toolik Field Station,12.3,0,3
7/24/89,Toolik Field Station,11.8,0,2.6
7/25/89,Toolik Field Station,9.5,6.6,5.8
7/26/89,Toolik Field Station,2.9,8.9,3.4
7/27/89,Toolik Field Station,6,0,2
7/28/89,Toolik Field Station,12.2,0,5.1
7/29/89,Toolik Field Station,17.2,0,3.6
7/30/89,Toolik Field Station,16,3.6,3
7/31/89,Toolik Field Station,14,2.5,2.3
8/1/89,Toolik Field Station,13.4,8.6,2.4
8/2/89,Toolik Field Station,11.2,7.6,2.2
8/3/89,Toolik Field Station,11.6,1,1.9
8/4/89,Toolik Field Station,13.6,0,4.3
8/5/89,Toolik Field Station,16,0,3.7
8/6/89,Toolik Field Station,17.2,0,2.5
8/7/89,Toolik Field Station,17.2,9.9,3.2
8/8/89,Toolik Field Station,15.8,0,3.8
8/9/89,Toolik Field Station,13.3,0.3,4.4
8/10/89,Toolik Field Station,12,0,3.9
8/11/89,Toolik Field Station,12.3,0.3,4
8/12/89,Toolik Field Station,14.5,0,7
8/13/89,Toolik Field Station,8.1,7.4,2.8
8/14/89,Toolik Field Station,6.2,1.5,3.5
8/15/89,Toolik Field Station,8.2,3.3,2.4
8/16/89,Toolik Field Station,7,3.3,3.7
8/17/89,Toolik Field Station,9.5,2,1.9
8/18/89,Toolik Field Station,13.6,0,3.6
8/19/89,Toolik Field Station,13.8,0,4.5
8/20/89,Toolik Field Station,4.4,0,3.8
8/21/89,Toolik Field Station,6.9,0,2.6
8/22/89,Toolik Field Station,9.4,0,3.2
8/23/89,Toolik Field Station,11,7.6,3.2
8/24/89,Toolik Field Station,11.1,0,2.8
8/25/89,Toolik Field Station,10.9,2.5,NA
8/26/89,Toolik Field Station,12.8,0,NA
8/27/89,Toolik Field Station,10.3,0,NA
8/28/89,Toolik Field Station,11.6,2.5,NA
8/29/89,Toolik Field Station,10.9,0,NA
8/30/89,Toolik Field Station,9.5,0,NA
8/31/89,Toolik Field Station,7.7,0,2.6
9/1/89,Toolik Field Station,8.3,0,2.7
9/2/89,Toolik Field Station,2.7,3.3,2.8
9/3/89,Toolik Field Station,4.7,0.3,1.6
9/4/89,Toolik Field Station,8.4,0.5,2.2
9/5/89,Toolik Field Station,7.6,1.8,2.8
9/6/89,Toolik Field Station,5.9,4.1,3.2
9/7/89,Toolik Field Station,7.8,0,4.6
9/8/89,Toolik Field Station,12.1,0,5.1
9/9/89,Toolik Field Station,13.9,0,4.9
9/10/89,Toolik Field Station,11.1,1.8,4.2
9/11/89,Toolik Field Station,7.1,11.9,2.5
9/12/89,Toolik Field Station,5.3,4.1,3.1
9/13/89,Toolik Field Station,0.9,2.8,2.7
9/14/89,Toolik Field Station,-2.8,2.5,5.6
9/15/89,Toolik Field Station,-5.8,5.1,2.6
9/16/89,Toolik Field Station,-7.9,2.5,2.6
9/17/89,Toolik Field Station,-5.4,0,2.2
9/18/89,Toolik Field Station,-5.9,0,1.9
9/19/89,Toolik Field Station,-11.5,0,2.6
9/20/89,Toolik Field Station,-13.4,0,1
9/21/89,Toolik Field Station,-12.4,0,2.7
9/22/89,Toolik Field Station,-8.7,0,1.8
9/23/89,Toolik Field Station,-5.7,0,2
9/24/89,Toolik Field Station,1.4,0,3.5
9/25/89,Toolik Field Station,1.8,7.6,2.3
9/26/89,Toolik Field Station,3.1,0,1.7
9/27/89,Toolik Field Station,1.7,0,2.5
9/28/89,Toolik Field Station,0.8,0,5.9
9/29/89,Toolik Field Station,2.9,0,7.1
9/30/89,Toolik Field Station,0.6,0,3.5
10/1/89,Toolik Field Station,2.5,0,3.8
10/2/89,Toolik Field Station,1.7,0,2.3
10/3/89,Toolik Field Station,0.8,0,3.9
10/4/89,Toolik Field Station,2.5,2.5,4.5
10/5/89,Toolik Field Station,1.5,0,5.1
10/6/89,Toolik Field Station,3,0,4
10/7/89,Toolik Field Station,-1.2,0,3.3
10/8/89,Toolik Field Station,-3.9,0,3.7
10/9/89,Toolik Field Station,-7.6,0,2.9
10/10/89,Toolik Field Station,-8.1,0,2.8
10/11/89,Toolik Field Station,-9.5,0,2.8
10/12/89,Toolik Field Station,-10.3,0,4.6
10/13/89,Toolik Field Station,-12.1,0,3.5
10/14/89,Toolik Field Station,-4.1,0,6.1
10/15/89,Toolik Field Station,-3.9,0,3.1
10/16/89,Toolik Field Station,-5.1,0,2.3
10/17/89,Toolik Field Station,-10.1,0,4.4
10/18/89,Toolik Field Station,-15.5,0,3
10/19/89,Toolik Field Station,-7.4,0,6.2
10/20/89,Toolik Field Station,-13.7,0,4.5
10/21/89,Toolik Field Station,-25,0,3.6
10/22/89,Toolik Field Station,-22.1,0,4.7
10/23/89,Toolik Field Station,-11.6,0,5.3
10/24/89,Toolik Field Station,-17.8,0,1.6
10/25/89,Toolik Field Station,-20.3,0,1.2
10/26/89,Toolik Field Station,-27.7,0,2.5
10/27/89,Toolik Field Station,-27.5,0,2.3
10/28/89,Toolik Field Station,-28.9,0,2.1
10/29/89,Toolik Field Station,-30.8,0,1.7
10/30/89,Toolik Field Station,-27.9,0,2.6
10/31/89,Toolik Field Station,-20.7,0,2.5
11/1/89,Toolik Field Station,-17.4,0,2.6
11/2/89,Toolik Field Station,-16.3,0,1.4
11/3/89,Toolik Field Station,-21.1,0,1.4
11/4/89,Toolik Field Station,-29,0,1.4
11/5/89,Toolik Field Station,-31.9,0,2.3
11/6/89,Toolik Field Station,-25,0,3.8
11/7/89,Toolik Field Station,-25.4,0,6.2
11/8/89,Toolik Field Station,-29.6,0,4.9
11/9/89,Toolik Field Station,-28.8,0,4.7
11/10/89,Toolik Field Station,-28.6,0,5
11/11/89,Toolik Field Station,-28.3,0,3.3
11/12/89,Toolik Field Station,-26,0,3.3
11/13/89,Toolik Field Station,-25,0,2.8
11/14/89,Toolik Field Station,-25,0,4.1
11/15/89,Toolik Field Station,-24.5,0,3.8
11/16/89,Toolik Field Station,-12.5,5.1,7.2
11/17/89,Toolik Field Station,-21.2,0,2.3
11/18/89,Toolik Field Station,-26.6,0,0.8
11/19/89,Toolik Field Station,-26.8,0,1.4
11/20/89,Toolik Field Station,-25.3,0,2.6
11/21/89,Toolik Field Station,-30.6,0,2.2
11/22/89,Toolik Field Station,-33.1,0,1.6
11/23/89,Toolik Field Station,-33.9,0,2.3
11/24/89,Toolik Field Station,-34.3,0,2
11/25/89,Toolik Field Station,-37.5,0,0.4
11/26/89,Toolik Field Station,-33.6,0,1.7
